"iteration","training-loss","Mistral-7b-VE-okazaki-lab-cc-a100-16node-128gpu-4096s-BS=1024-LR=1e-4-MINLR=3.3e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MIN","Mistral-7b-VE-okazaki-lab-cc-a100-16node-128gpu-4096s-BS=1024-LR=1e-4-MINLR=3.3e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MAX"
"1","6.939692974090576","6.939692974090576","6.939692974090576"
"2","6.13521671295166","6.13521671295166","6.13521671295166"
"3","5.880749225616455","5.880749225616455","5.880749225616455"
"4","5.741623401641846","5.741623401641846","5.741623401641846"
"5","5.592354774475098","5.592354774475098","5.592354774475098"
"6","5.485241889953613","5.485241889953613","5.485241889953613"
"7","5.37742805480957","5.37742805480957","5.37742805480957"
"8","5.285634994506836","5.285634994506836","5.285634994506836"
"9","5.213113307952881","5.213113307952881","5.213113307952881"
"10","5.1312642097473145","5.1312642097473145","5.1312642097473145"
"11","5.057311534881592","5.057311534881592","5.057311534881592"
"12","4.968299388885498","4.968299388885498","4.968299388885498"
"13","4.8937811851501465","4.8937811851501465","4.8937811851501465"
"14","4.813523292541504","4.813523292541504","4.813523292541504"
"15","4.7305755615234375","4.7305755615234375","4.7305755615234375"
"16","4.706125259399414","4.706125259399414","4.706125259399414"
"17","4.626384735107422","4.626384735107422","4.626384735107422"
"18","4.551154613494873","4.551154613494873","4.551154613494873"
"19","4.50180721282959","4.50180721282959","4.50180721282959"
"20","4.455539226531982","4.455539226531982","4.455539226531982"
"21","4.411258220672607","4.411258220672607","4.411258220672607"
"22","4.354254245758057","4.354254245758057","4.354254245758057"
"23","4.305534362792969","4.305534362792969","4.305534362792969"
"24","4.25242805480957","4.25242805480957","4.25242805480957"
"25","4.187201499938965","4.187201499938965","4.187201499938965"
"26","4.15500545501709","4.15500545501709","4.15500545501709"
"27","4.131410598754883","4.131410598754883","4.131410598754883"
"28","4.089269638061523","4.089269638061523","4.089269638061523"
"29","4.04362154006958","4.04362154006958","4.04362154006958"
"30","4.004519462585449","4.004519462585449","4.004519462585449"
"31","3.98325252532959","3.98325252532959","3.98325252532959"
"32","3.926051139831543","3.926051139831543","3.926051139831543"
"33","3.8769195079803467","3.8769195079803467","3.8769195079803467"
"34","3.8570375442504883","3.8570375442504883","3.8570375442504883"
"35","3.821110963821411","3.821110963821411","3.821110963821411"
"36","3.7933340072631836","3.7933340072631836","3.7933340072631836"
"37","3.7462120056152344","3.7462120056152344","3.7462120056152344"
"38","3.7299611568450928","3.7299611568450928","3.7299611568450928"
"39","3.7094340324401855","3.7094340324401855","3.7094340324401855"
"40","3.6771223545074463","3.6771223545074463","3.6771223545074463"
"41","3.6595957279205322","3.6595957279205322","3.6595957279205322"
"42","3.615959644317627","3.615959644317627","3.615959644317627"
"43","3.609163761138916","3.609163761138916","3.609163761138916"
"44","3.600253105163574","3.600253105163574","3.600253105163574"
"45","3.552152395248413","3.552152395248413","3.552152395248413"
"46","3.536135673522949","3.536135673522949","3.536135673522949"
"47","3.5214388370513916","3.5214388370513916","3.5214388370513916"
"48","3.4856820106506348","3.4856820106506348","3.4856820106506348"
"49","3.459604501724243","3.459604501724243","3.459604501724243"
"50","3.4329490661621094","3.4329490661621094","3.4329490661621094"
"51","3.4153268337249756","3.4153268337249756","3.4153268337249756"
