"iteration","training-loss","Grouped runs - lm-loss-training/lm loss__MIN","Grouped runs - lm-loss-training/lm loss__MAX"
"100","3.2115211486816406","3.2115211486816406","3.2115211486816406"
"101","3.1954519748687744","3.1954519748687744","3.1954519748687744"
"102","3.1780495643615723","3.1780495643615723","3.1780495643615723"
"103","3.173130989074707","3.173130989074707","3.173130989074707"
"104","3.159644365310669","3.159644365310669","3.159644365310669"
"105","3.120069980621338","3.120069980621338","3.120069980621338"
"106","3.1383731365203857","3.1383731365203857","3.1383731365203857"
"107","3.107407808303833","3.107407808303833","3.107407808303833"
"108","3.0969488620758057","3.0969488620758057","3.0969488620758057"
"109","3.120023727416992","3.120023727416992","3.120023727416992"
"110","3.0886878967285156","3.0886878967285156","3.0886878967285156"
"111","3.075324773788452","3.075324773788452","3.075324773788452"
"112","3.064654588699341","3.064654588699341","3.064654588699341"
"113","3.0510690212249756","3.0510690212249756","3.0510690212249756"
"114","3.046539783477783","3.046539783477783","3.046539783477783"
"115","3.045109987258911","3.045109987258911","3.045109987258911"
"116","3.028017282485962","3.028017282485962","3.028017282485962"
"117","3.011411428451538","3.011411428451538","3.011411428451538"
"118","3.0169413089752197","3.0169413089752197","3.0169413089752197"
"119","3.0067570209503174","3.0067570209503174","3.0067570209503174"
"120","3.0061380863189697","3.0061380863189697","3.0061380863189697"
"121","2.9876163005828857","2.9876163005828857","2.9876163005828857"
"122","2.97806978225708","2.97806978225708","2.97806978225708"
"123","2.9661355018615723","2.9661355018615723","2.9661355018615723"
"124","2.9348559379577637","2.9348559379577637","2.9348559379577637"
"125","2.947014093399048","2.947014093399048","2.947014093399048"
"126","2.946436643600464","2.946436643600464","2.946436643600464"
"127","2.925628900527954","2.925628900527954","2.925628900527954"
"128","2.924659013748169","2.924659013748169","2.924659013748169"
"129","2.9132497310638428","2.9132497310638428","2.9132497310638428"
"130","2.911959409713745","2.911959409713745","2.911959409713745"
"131","2.9056949615478516","2.9056949615478516","2.9056949615478516"
"132","2.888639211654663","2.888639211654663","2.888639211654663"
"133","2.8692941665649414","2.8692941665649414","2.8692941665649414"
"134","2.8738021850585938","2.8738021850585938","2.8738021850585938"
"135","2.8647868633270264","2.8647868633270264","2.8647868633270264"
"136","2.855825901031494","2.855825901031494","2.855825901031494"
"137","2.865837574005127","2.865837574005127","2.865837574005127"
"138","2.844813823699951","2.844813823699951","2.844813823699951"
"139","2.823119878768921","2.823119878768921","2.823119878768921"
"140","2.8299028873443604","2.8299028873443604","2.8299028873443604"
"141","2.84165620803833","2.84165620803833","2.84165620803833"
"142","2.804272174835205","2.804272174835205","2.804272174835205"
"143","2.80039119720459","2.80039119720459","2.80039119720459"
"144","2.8161606788635254","2.8161606788635254","2.8161606788635254"
"145","2.7956385612487793","2.7956385612487793","2.7956385612487793"
"146","2.7970306873321533","2.7970306873321533","2.7970306873321533"
"147","2.802932024002075","2.802932024002075","2.802932024002075"
"148","2.7716784477233887","2.7716784477233887","2.7716784477233887"
"149","2.7923154830932617","2.7923154830932617","2.7923154830932617"
