"iteration","training-loss","Grouped runs - lm-loss-training/lm loss__MIN","Grouped runs - lm-loss-training/lm loss__MAX"
"2","6.363900661468506","6.363900661468506","6.363900661468506"
"3","6.406085968017578","6.406085968017578","6.406085968017578"
"4","6.4042840003967285","6.4042840003967285","6.4042840003967285"
"5","6.394804954528809","6.394804954528809","6.394804954528809"
"6","6.391602993011475","6.391602993011475","6.391602993011475"
"7","6.391514301300049","6.391514301300049","6.391514301300049"
"8","6.384793281555176","6.384793281555176","6.384793281555176"
"9","6.352086544036865","6.352086544036865","6.352086544036865"
"10","6.3580641746521","6.3580641746521","6.3580641746521"
"11","6.332198619842529","6.332198619842529","6.332198619842529"
"12","6.227806091308594","6.227806091308594","6.227806091308594"
"13","6.212750434875488","6.212750434875488","6.212750434875488"
"14","6.203207492828369","6.203207492828369","6.203207492828369"
"15","5.957669258117676","5.957669258117676","5.957669258117676"
"16","5.842775821685791","5.842775821685791","5.842775821685791"
"17","5.813490390777588","5.813490390777588","5.813490390777588"
"18","5.773756980895996","5.773756980895996","5.773756980895996"
"19","5.753561496734619","5.753561496734619","5.753561496734619"
"20","5.615865230560303","5.615865230560303","5.615865230560303"
"21","5.533182144165039","5.533182144165039","5.533182144165039"
"22","5.503759860992432","5.503759860992432","5.503759860992432"
"23","5.456974029541016","5.456974029541016","5.456974029541016"
"24","5.432750701904297","5.432750701904297","5.432750701904297"
"25","5.380324840545654","5.380324840545654","5.380324840545654"
"26","5.363976001739502","5.363976001739502","5.363976001739502"
"27","5.330774784088135","5.330774784088135","5.330774784088135"
"28","5.191641330718994","5.191641330718994","5.191641330718994"
"29","5.140196323394775","5.140196323394775","5.140196323394775"
"30","5.0731096267700195","5.0731096267700195","5.0731096267700195"
"31","5.045269966125488","5.045269966125488","5.045269966125488"
"32","4.986958026885986","4.986958026885986","4.986958026885986"
"33","4.974903106689453","4.974903106689453","4.974903106689453"
"34","4.8926520347595215","4.8926520347595215","4.8926520347595215"
"35","4.864494800567627","4.864494800567627","4.864494800567627"
"36","4.823024749755859","4.823024749755859","4.823024749755859"
"37","4.761415004730225","4.761415004730225","4.761415004730225"
"38","4.726979732513428","4.726979732513428","4.726979732513428"
"39","4.6606831550598145","4.6606831550598145","4.6606831550598145"
"40","4.603159427642822","4.603159427642822","4.603159427642822"
"41","4.545904636383057","4.545904636383057","4.545904636383057"
"42","4.503380298614502","4.503380298614502","4.503380298614502"
"43","4.4665679931640625","4.4665679931640625","4.4665679931640625"
"44","4.4235758781433105","4.4235758781433105","4.4235758781433105"
"45","4.389313220977783","4.389313220977783","4.389313220977783"
"46","4.326564788818359","4.326564788818359","4.326564788818359"
"47","4.286417007446289","4.286417007446289","4.286417007446289"
"48","4.257646083831787","4.257646083831787","4.257646083831787"
"49","4.218054294586182","4.218054294586182","4.218054294586182"
"50","4.183281421661377","4.183281421661377","4.183281421661377"
"51","4.157645225524902","4.157645225524902","4.157645225524902"
"52","4.094519138336182","4.094519138336182","4.094519138336182"
"53","4.0785064697265625","4.0785064697265625","4.0785064697265625"
"54","4.04132604598999","4.04132604598999","4.04132604598999"
"55","3.9821724891662598","3.9821724891662598","3.9821724891662598"
"56","3.9751334190368652","3.9751334190368652","3.9751334190368652"
"57","3.9163529872894287","3.9163529872894287","3.9163529872894287"
"58","3.8713200092315674","3.8713200092315674","3.8713200092315674"
"59","3.846543788909912","3.846543788909912","3.846543788909912"
"60","3.8109042644500732","3.8109042644500732","3.8109042644500732"
"61","3.779846668243408","3.779846668243408","3.779846668243408"
"62","3.744572877883911","3.744572877883911","3.744572877883911"
"63","3.716338634490967","3.716338634490967","3.716338634490967"
"64","3.6818206310272217","3.6818206310272217","3.6818206310272217"
"65","3.6547601222991943","3.6547601222991943","3.6547601222991943"
"66","3.611232280731201","3.611232280731201","3.611232280731201"
"67","3.589357614517212","3.589357614517212","3.589357614517212"
"68","3.5682058334350586","3.5682058334350586","3.5682058334350586"
"69","3.534738540649414","3.534738540649414","3.534738540649414"
"70","3.498818874359131","3.498818874359131","3.498818874359131"
"71","3.4635486602783203","3.4635486602783203","3.4635486602783203"
"72","3.4356601238250732","3.4356601238250732","3.4356601238250732"
"73","3.415544271469116","3.415544271469116","3.415544271469116"
"74","3.399024724960327","3.399024724960327","3.399024724960327"
"75","3.344329833984375","3.344329833984375","3.344329833984375"
"76","3.35048508644104","3.35048508644104","3.35048508644104"
"77","3.287884473800659","3.287884473800659","3.287884473800659"
"78","3.300971508026123","3.300971508026123","3.300971508026123"
"79","3.2505533695220947","3.2505533695220947","3.2505533695220947"
"80","3.2307395935058594","3.2307395935058594","3.2307395935058594"
"81","3.221529006958008","3.221529006958008","3.221529006958008"
"82","3.2033848762512207","3.2033848762512207","3.2033848762512207"
"83","3.189666748046875","3.189666748046875","3.189666748046875"
"84","3.165254831314087","3.165254831314087","3.165254831314087"
"85","3.1441638469696045","3.1441638469696045","3.1441638469696045"
"86","3.123380661010742","3.123380661010742","3.123380661010742"
"87","3.1041510105133057","3.1041510105133057","3.1041510105133057"
"88","3.0923264026641846","3.0923264026641846","3.0923264026641846"
"89","3.061784029006958","3.061784029006958","3.061784029006958"
"90","3.0491080284118652","3.0491080284118652","3.0491080284118652"
"91","3.03834867477417","3.03834867477417","3.03834867477417"
