"iteration","training-loss","llama-2-13b-base-extended-okazaki-lab-cc-a100-8node-64gpu-4096s-DP=8-TP=2-PP=4-BS=1024-LR=1e-4-MINLR=3.3e-6-WARMUP=1000-WD=0.1-GC=1-2023-11-06-02-41-24 - lm-loss-training/lm loss__MIN","llama-2-13b-base-extended-okazaki-lab-cc-a100-8node-64gpu-4096s-DP=8-TP=2-PP=4-BS=1024-LR=1e-4-MINLR=3.3e-6-WARMUP=1000-WD=0.1-GC=1-2023-11-06-02-41-24 - lm-loss-training/lm loss__MAX"
"135","2.805213451385498","2.805213451385498","2.805213451385498"
"136","2.7969019412994385","2.7969019412994385","2.7969019412994385"
"137","2.80863881111145","2.80863881111145","2.80863881111145"
"138","2.788564682006836","2.788564682006836","2.788564682006836"
"139","2.769467830657959","2.769467830657959","2.769467830657959"
"140","2.777404308319092","2.777404308319092","2.777404308319092"
"141","2.786386013031006","2.786386013031006","2.786386013031006"
"142","2.7504618167877197","2.7504618167877197","2.7504618167877197"
"143","2.7496089935302734","2.7496089935302734","2.7496089935302734"
"144","2.7641096115112305","2.7641096115112305","2.7641096115112305"
"145","2.7428431510925293","2.7428431510925293","2.7428431510925293"
"146","2.7462072372436523","2.7462072372436523","2.7462072372436523"
"147","2.7528531551361084","2.7528531551361084","2.7528531551361084"
"148","2.7211570739746094","2.7211570739746094","2.7211570739746094"
"149","2.7424583435058594","2.7424583435058594","2.7424583435058594"
"150","2.723710060119629","2.723710060119629","2.723710060119629"
"151","2.717677116394043","2.717677116394043","2.717677116394043"
"152","2.710692882537842","2.710692882537842","2.710692882537842"
"153","2.6974470615386963","2.6974470615386963","2.6974470615386963"
"154","2.7004125118255615","2.7004125118255615","2.7004125118255615"
"155","2.6769320964813232","2.6769320964813232","2.6769320964813232"
"156","2.692542552947998","2.692542552947998","2.692542552947998"
"157","2.6569008827209473","2.6569008827209473","2.6569008827209473"
"158","2.6779799461364746","2.6779799461364746","2.6779799461364746"
"159","2.6857285499572754","2.6857285499572754","2.6857285499572754"
"160","2.6826930046081543","2.6826930046081543","2.6826930046081543"
"161","2.644306182861328","2.644306182861328","2.644306182861328"
"162","2.6776833534240723","2.6776833534240723","2.6776833534240723"
"163","2.6561098098754883","2.6561098098754883","2.6561098098754883"
"164","2.6527187824249268","2.6527187824249268","2.6527187824249268"
"165","2.646976947784424","2.646976947784424","2.646976947784424"
"166","2.638664960861206","2.638664960861206","2.638664960861206"
"167","2.6364684104919434","2.6364684104919434","2.6364684104919434"
"168","2.620668888092041","2.620668888092041","2.620668888092041"
"169","2.6273608207702637","2.6273608207702637","2.6273608207702637"
"170","2.6020915508270264","2.6020915508270264","2.6020915508270264"
"171","2.621683120727539","2.621683120727539","2.621683120727539"
"172","2.6033811569213867","2.6033811569213867","2.6033811569213867"
"173","2.6113545894622803","2.6113545894622803","2.6113545894622803"
"174","2.6052825450897217","2.6052825450897217","2.6052825450897217"
"175","2.604443311691284","2.604443311691284","2.604443311691284"
"176","2.6044375896453857","2.6044375896453857","2.6044375896453857"
"177","2.612157106399536","2.612157106399536","2.612157106399536"
"178","2.5964534282684326","2.5964534282684326","2.5964534282684326"
"179","2.5827224254608154","2.5827224254608154","2.5827224254608154"
"180","2.5810506343841553","2.5810506343841553","2.5810506343841553"
"181","2.554434299468994","2.554434299468994","2.554434299468994"
"182","2.5498976707458496","2.5498976707458496","2.5498976707458496"
"183","2.562110185623169","2.562110185623169","2.562110185623169"
"184","2.5605597496032715","2.5605597496032715","2.5605597496032715"
"185","2.5521581172943115","2.5521581172943115","2.5521581172943115"
"186","2.5562069416046143","2.5562069416046143","2.5562069416046143"
"187","2.5529093742370605","2.5529093742370605","2.5529093742370605"
"188","2.545693874359131","2.545693874359131","2.545693874359131"
"189","2.5315563678741455","2.5315563678741455","2.5315563678741455"
"190","2.5522449016571045","2.5522449016571045","2.5522449016571045"
"191","2.5302233695983887","2.5302233695983887","2.5302233695983887"
"192","2.5456082820892334","2.5456082820892334","2.5456082820892334"
"193","2.537642240524292","2.537642240524292","2.537642240524292"
"194","2.5183680057525635","2.5183680057525635","2.5183680057525635"
"195","2.524629831314087","2.524629831314087","2.524629831314087"
"196","2.5085976123809814","2.5085976123809814","2.5085976123809814"
"197","2.50274920463562","2.50274920463562","2.50274920463562"
"198","2.5066168308258057","2.5066168308258057","2.5066168308258057"
"199","2.4999897480010986","2.4999897480010986","2.4999897480010986"
"200","2.5006959438323975","2.5006959438323975","2.5006959438323975"
"201","2.4975123405456543","2.4975123405456543","2.4975123405456543"
"202","2.4949281215667725","2.4949281215667725","2.4949281215667725"
"203","2.492964029312134","2.492964029312134","2.492964029312134"
"204","2.47929310798645","2.47929310798645","2.47929310798645"
"205","2.481602907180786","2.481602907180786","2.481602907180786"
"206","2.4734079837799072","2.4734079837799072","2.4734079837799072"
"207","2.4762117862701416","2.4762117862701416","2.4762117862701416"
"208","2.463021993637085","2.463021993637085","2.463021993637085"
"209","2.4810588359832764","2.4810588359832764","2.4810588359832764"
"210","2.4725229740142822","2.4725229740142822","2.4725229740142822"
"211","2.467717409133911","2.467717409133911","2.467717409133911"
"212","2.467054605484009","2.467054605484009","2.467054605484009"
"213","2.4619638919830322","2.4619638919830322","2.4619638919830322"
"214","2.452906608581543","2.452906608581543","2.452906608581543"
"215","2.4545106887817383","2.4545106887817383","2.4545106887817383"
"216","2.458739757537842","2.458739757537842","2.458739757537842"
"217","2.4499289989471436","2.4499289989471436","2.4499289989471436"
"218","2.4455225467681885","2.4455225467681885","2.4455225467681885"
"219","2.445040464401245","2.445040464401245","2.445040464401245"
"220","2.4401395320892334","2.4401395320892334","2.4401395320892334"
"221","2.430680513381958","2.430680513381958","2.430680513381958"
"222","2.4424729347229004","2.4424729347229004","2.4424729347229004"
"223","2.4295451641082764","2.4295451641082764","2.4295451641082764"
"224","2.4245641231536865","2.4245641231536865","2.4245641231536865"
"225","2.431871175765991","2.431871175765991","2.431871175765991"
"226","2.423119068145752","2.423119068145752","2.423119068145752"
"227","2.4189741611480713","2.4189741611480713","2.4189741611480713"
"228","2.4272546768188477","2.4272546768188477","2.4272546768188477"
"229","2.4194836616516113","2.4194836616516113","2.4194836616516113"
"230","2.4158241748809814","2.4158241748809814","2.4158241748809814"
"231","2.3940584659576416","2.3940584659576416","2.3940584659576416"
"232","2.398585796356201","2.398585796356201","2.398585796356201"
"233","2.4108920097351074","2.4108920097351074","2.4108920097351074"
"234","2.4065284729003906","2.4065284729003906","2.4065284729003906"
"235","2.401045799255371","2.401045799255371","2.401045799255371"
"236","2.3928542137145996","2.3928542137145996","2.3928542137145996"
"237","2.37955904006958","2.37955904006958","2.37955904006958"
"238","2.3805744647979736","2.3805744647979736","2.3805744647979736"
"239","2.3867599964141846","2.3867599964141846","2.3867599964141846"
"240","2.388643741607666","2.388643741607666","2.388643741607666"
"241","2.3824851512908936","2.3824851512908936","2.3824851512908936"
"242","2.3868215084075928","2.3868215084075928","2.3868215084075928"
"243","2.3695809841156006","2.3695809841156006","2.3695809841156006"
"244","2.3773908615112305","2.3773908615112305","2.3773908615112305"
"245","2.3696610927581787","2.3696610927581787","2.3696610927581787"
"246","2.3606436252593994","2.3606436252593994","2.3606436252593994"
"247","2.3573825359344482","2.3573825359344482","2.3573825359344482"
"248","2.3581440448760986","2.3581440448760986","2.3581440448760986"
"249","2.380756139755249","2.380756139755249","2.380756139755249"
"250","2.365140438079834","2.365140438079834","2.365140438079834"
"251","2.361020565032959","2.361020565032959","2.361020565032959"
"252","2.343320608139038","2.343320608139038","2.343320608139038"
"253","2.3647563457489014","2.3647563457489014","2.3647563457489014"
"254","2.3482232093811035","2.3482232093811035","2.3482232093811035"
"255","2.347628355026245","2.347628355026245","2.347628355026245"
"256","2.347134828567505","2.347134828567505","2.347134828567505"
"257","2.348939895629883","2.348939895629883","2.348939895629883"
"258","2.342686653137207","2.342686653137207","2.342686653137207"
"259","2.3442912101745605","2.3442912101745605","2.3442912101745605"
"260","2.3340587615966797","2.3340587615966797","2.3340587615966797"
"261","2.325597047805786","2.325597047805786","2.325597047805786"
"262","2.3323352336883545","2.3323352336883545","2.3323352336883545"
"263","2.3263893127441406","2.3263893127441406","2.3263893127441406"
"264","2.334197521209717","2.334197521209717","2.334197521209717"
"265","2.3249125480651855","2.3249125480651855","2.3249125480651855"
"266","2.320899486541748","2.320899486541748","2.320899486541748"
"267","2.3348536491394043","2.3348536491394043","2.3348536491394043"
"268","2.3000831604003906","2.3000831604003906","2.3000831604003906"
"269","2.311377763748169","2.311377763748169","2.311377763748169"
"270","2.3123250007629395","2.3123250007629395","2.3123250007629395"
"271","2.3065125942230225","2.3065125942230225","2.3065125942230225"
"272","2.305665969848633","2.305665969848633","2.305665969848633"
"273","2.3109817504882812","2.3109817504882812","2.3109817504882812"
"274","2.3080549240112305","2.3080549240112305","2.3080549240112305"
"275","2.3119287490844727","2.3119287490844727","2.3119287490844727"
"276","2.3031883239746094","2.3031883239746094","2.3031883239746094"
"277","2.2950010299682617","2.2950010299682617","2.2950010299682617"
"278","2.292984962463379","2.292984962463379","2.292984962463379"
"279","2.2933099269866943","2.2933099269866943","2.2933099269866943"
"280","2.311006546020508","2.311006546020508","2.311006546020508"
"281","2.30458664894104","2.30458664894104","2.30458664894104"
"282","2.3048408031463623","2.3048408031463623","2.3048408031463623"
"283","2.3065638542175293","2.3065638542175293","2.3065638542175293"
"284","2.299245834350586","2.299245834350586","2.299245834350586"
"285","2.2877297401428223","2.2877297401428223","2.2877297401428223"
"286","2.28694486618042","2.28694486618042","2.28694486618042"
"287","2.2958245277404785","2.2958245277404785","2.2958245277404785"
"288","2.274303436279297","2.274303436279297","2.274303436279297"
"289","2.2879490852355957","2.2879490852355957","2.2879490852355957"
"290","2.287971258163452","2.287971258163452","2.287971258163452"
"291","2.2851643562316895","2.2851643562316895","2.2851643562316895"
"292","2.2773709297180176","2.2773709297180176","2.2773709297180176"
"293","2.271118640899658","2.271118640899658","2.271118640899658"
"294","2.265627861022949","2.265627861022949","2.265627861022949"
"295","2.260962963104248","2.260962963104248","2.260962963104248"
"296","2.2650105953216553","2.2650105953216553","2.2650105953216553"
"297","2.269629955291748","2.269629955291748","2.269629955291748"
"298","2.27384614944458","2.27384614944458","2.27384614944458"
"299","2.261915445327759","2.261915445327759","2.261915445327759"
"300","2.2597148418426514","2.2597148418426514","2.2597148418426514"
"301","2.255080223083496","2.255080223083496","2.255080223083496"
"302","2.249911069869995","2.249911069869995","2.249911069869995"
"303","2.2434475421905518","2.2434475421905518","2.2434475421905518"
"304","2.2460055351257324","2.2460055351257324","2.2460055351257324"
"305","2.2585806846618652","2.2585806846618652","2.2585806846618652"
"306","2.2428884506225586","2.2428884506225586","2.2428884506225586"
"307","2.2478439807891846","2.2478439807891846","2.2478439807891846"
"308","2.2487194538116455","2.2487194538116455","2.2487194538116455"
"309","2.24343204498291","2.24343204498291","2.24343204498291"
"310","2.2466020584106445","2.2466020584106445","2.2466020584106445"
"311","2.2551677227020264","2.2551677227020264","2.2551677227020264"
"312","2.2553277015686035","2.2553277015686035","2.2553277015686035"
"313","2.2339792251586914","2.2339792251586914","2.2339792251586914"
"314","2.2347571849823","2.2347571849823","2.2347571849823"
"315","2.2383038997650146","2.2383038997650146","2.2383038997650146"
"316","2.21547794342041","2.21547794342041","2.21547794342041"
"317","2.2329487800598145","2.2329487800598145","2.2329487800598145"
"318","2.2222723960876465","2.2222723960876465","2.2222723960876465"
"319","2.233264207839966","2.233264207839966","2.233264207839966"
"320","2.2583701610565186","2.2583701610565186","2.2583701610565186"
"321","2.211113929748535","2.211113929748535","2.211113929748535"
"322","2.219762086868286","2.219762086868286","2.219762086868286"
"323","2.23111629486084","2.23111629486084","2.23111629486084"
"324","2.2211673259735107","2.2211673259735107","2.2211673259735107"
"325","2.2207188606262207","2.2207188606262207","2.2207188606262207"
"326","2.215595245361328","2.215595245361328","2.215595245361328"
"327","2.2272191047668457","2.2272191047668457","2.2272191047668457"
"328","2.213432550430298","2.213432550430298","2.213432550430298"
"329","2.2195143699645996","2.2195143699645996","2.2195143699645996"
"330","2.198018789291382","2.198018789291382","2.198018789291382"
"331","2.2085609436035156","2.2085609436035156","2.2085609436035156"
"332","2.208364248275757","2.208364248275757","2.208364248275757"
"333","2.2060890197753906","2.2060890197753906","2.2060890197753906"
"334","2.226182460784912","2.226182460784912","2.226182460784912"
"335","2.210824489593506","2.210824489593506","2.210824489593506"
"336","2.202895164489746","2.202895164489746","2.202895164489746"
"337","2.201861619949341","2.201861619949341","2.201861619949341"
"338","2.2208285331726074","2.2208285331726074","2.2208285331726074"
"339","2.2186851501464844","2.2186851501464844","2.2186851501464844"
"340","2.2002553939819336","2.2002553939819336","2.2002553939819336"
"341","2.19352126121521","2.19352126121521","2.19352126121521"
"342","2.1883444786071777","2.1883444786071777","2.1883444786071777"
"343","2.1984500885009766","2.1984500885009766","2.1984500885009766"
"344","2.2083234786987305","2.2083234786987305","2.2083234786987305"
"345","2.1968905925750732","2.1968905925750732","2.1968905925750732"
"346","2.1972243785858154","2.1972243785858154","2.1972243785858154"
"347","2.2031869888305664","2.2031869888305664","2.2031869888305664"
"348","2.202726364135742","2.202726364135742","2.202726364135742"
"349","2.1833975315093994","2.1833975315093994","2.1833975315093994"
"350","2.197892189025879","2.197892189025879","2.197892189025879"
"351","2.1978163719177246","2.1978163719177246","2.1978163719177246"
"352","2.1802268028259277","2.1802268028259277","2.1802268028259277"
"353","2.177666187286377","2.177666187286377","2.177666187286377"
"354","2.1938767433166504","2.1938767433166504","2.1938767433166504"
"355","2.1788578033447266","2.1788578033447266","2.1788578033447266"
"356","2.1910085678100586","2.1910085678100586","2.1910085678100586"
"357","2.186776876449585","2.186776876449585","2.186776876449585"
"358","2.1819188594818115","2.1819188594818115","2.1819188594818115"
"359","2.181145191192627","2.181145191192627","2.181145191192627"
"360","2.1911730766296387","2.1911730766296387","2.1911730766296387"
"361","2.1866931915283203","2.1866931915283203","2.1866931915283203"
"362","2.175220251083374","2.175220251083374","2.175220251083374"
"363","2.1702113151550293","2.1702113151550293","2.1702113151550293"
"364","2.155294418334961","2.155294418334961","2.155294418334961"
"365","2.182800054550171","2.182800054550171","2.182800054550171"
"366","2.180422306060791","2.180422306060791","2.180422306060791"
"367","2.1636850833892822","2.1636850833892822","2.1636850833892822"
"368","2.1580188274383545","2.1580188274383545","2.1580188274383545"
"369","2.1693084239959717","2.1693084239959717","2.1693084239959717"
"370","2.1726460456848145","2.1726460456848145","2.1726460456848145"
"371","2.1662251949310303","2.1662251949310303","2.1662251949310303"
"372","2.1742963790893555","2.1742963790893555","2.1742963790893555"
"373","2.144528388977051","2.144528388977051","2.144528388977051"
"374","2.158719062805176","2.158719062805176","2.158719062805176"
"375","2.15779185295105","2.15779185295105","2.15779185295105"
"376","2.170811414718628","2.170811414718628","2.170811414718628"
"377","2.1451613903045654","2.1451613903045654","2.1451613903045654"
"378","2.1477975845336914","2.1477975845336914","2.1477975845336914"
"379","2.165485143661499","2.165485143661499","2.165485143661499"
"380","2.1588544845581055","2.1588544845581055","2.1588544845581055"
"381","2.172077178955078","2.172077178955078","2.172077178955078"
"382","2.1625068187713623","2.1625068187713623","2.1625068187713623"
"383","2.1487622261047363","2.1487622261047363","2.1487622261047363"
"384","2.149707317352295","2.149707317352295","2.149707317352295"
"385","2.152582883834839","2.152582883834839","2.152582883834839"
"386","2.160949945449829","2.160949945449829","2.160949945449829"
"387","2.1420583724975586","2.1420583724975586","2.1420583724975586"
"388","2.126055955886841","2.126055955886841","2.126055955886841"
"389","2.1388931274414062","2.1388931274414062","2.1388931274414062"
"390","2.1469573974609375","2.1469573974609375","2.1469573974609375"
"391","2.1490392684936523","2.1490392684936523","2.1490392684936523"
"392","2.124490261077881","2.124490261077881","2.124490261077881"
"393","2.141343832015991","2.141343832015991","2.141343832015991"
"394","2.1535260677337646","2.1535260677337646","2.1535260677337646"
"395","2.1438205242156982","2.1438205242156982","2.1438205242156982"
"396","2.149083375930786","2.149083375930786","2.149083375930786"
