"iteration","training-loss","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MIN","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MAX"
"32","3.9937939643859863","3.9937939643859863","3.9937939643859863"
"33","3.95786452293396","3.95786452293396","3.95786452293396"
"34","3.9282193183898926","3.9282193183898926","3.9282193183898926"
"35","3.911242723464966","3.911242723464966","3.911242723464966"
"36","3.864278793334961","3.864278793334961","3.864278793334961"
"37","3.8371219635009766","3.8371219635009766","3.8371219635009766"
"38","3.80653715133667","3.80653715133667","3.80653715133667"
"39","3.7625439167022705","3.7625439167022705","3.7625439167022705"
"40","3.754448890686035","3.754448890686035","3.754448890686035"
"41","3.7162249088287354","3.7162249088287354","3.7162249088287354"
"42","3.671595335006714","3.671595335006714","3.671595335006714"
"43","3.6753692626953125","3.6753692626953125","3.6753692626953125"
"44","3.640087366104126","3.640087366104126","3.640087366104126"
"45","3.614478349685669","3.614478349685669","3.614478349685669"
"46","3.601412773132324","3.601412773132324","3.601412773132324"
"47","3.5660970211029053","3.5660970211029053","3.5660970211029053"
"48","3.5538742542266846","3.5538742542266846","3.5538742542266846"
"49","3.5325064659118652","3.5325064659118652","3.5325064659118652"
"50","3.5049245357513428","3.5049245357513428","3.5049245357513428"
"51","3.480478286743164","3.480478286743164","3.480478286743164"
"52","3.466614007949829","3.466614007949829","3.466614007949829"
"53","3.448662281036377","3.448662281036377","3.448662281036377"
"54","3.4247400760650635","3.4247400760650635","3.4247400760650635"
"55","3.409327745437622","3.409327745437622","3.409327745437622"
"56","3.373793601989746","3.373793601989746","3.373793601989746"
"57","3.3613314628601074","3.3613314628601074","3.3613314628601074"
"58","3.3566386699676514","3.3566386699676514","3.3566386699676514"
"59","3.324805498123169","3.324805498123169","3.324805498123169"
"60","3.311246156692505","3.311246156692505","3.311246156692505"
"61","3.317866086959839","3.317866086959839","3.317866086959839"
"62","3.281749725341797","3.281749725341797","3.281749725341797"
"63","3.259874105453491","3.259874105453491","3.259874105453491"
"64","3.244187593460083","3.244187593460083","3.244187593460083"
"65","3.2324399948120117","3.2324399948120117","3.2324399948120117"
"66","3.226107120513916","3.226107120513916","3.226107120513916"
"67","3.229663610458374","3.229663610458374","3.229663610458374"
"68","3.207346200942993","3.207346200942993","3.207346200942993"
"69","3.1690258979797363","3.1690258979797363","3.1690258979797363"
"70","3.170649766921997","3.170649766921997","3.170649766921997"
"71","3.157411575317383","3.157411575317383","3.157411575317383"
"72","3.1256330013275146","3.1256330013275146","3.1256330013275146"
"73","3.135676383972168","3.135676383972168","3.135676383972168"
"74","3.106440544128418","3.106440544128418","3.106440544128418"
"75","3.1003835201263428","3.1003835201263428","3.1003835201263428"
"76","3.0532643795013428","3.0532643795013428","3.0532643795013428"
"77","3.071821928024292","3.071821928024292","3.071821928024292"
"78","3.081454277038574","3.081454277038574","3.081454277038574"
"79","3.0555496215820312","3.0555496215820312","3.0555496215820312"
"80","3.041672706604004","3.041672706604004","3.041672706604004"
"81","3.036001443862915","3.036001443862915","3.036001443862915"
"82","3.0273823738098145","3.0273823738098145","3.0273823738098145"
"83","3.036099433898926","3.036099433898926","3.036099433898926"
"84","3.0096259117126465","3.0096259117126465","3.0096259117126465"
"85","2.9931247234344482","2.9931247234344482","2.9931247234344482"
"86","2.9825358390808105","2.9825358390808105","2.9825358390808105"
"87","2.9635884761810303","2.9635884761810303","2.9635884761810303"
"88","2.948986768722534","2.948986768722534","2.948986768722534"
"89","2.9428048133850098","2.9428048133850098","2.9428048133850098"
"90","2.9499521255493164","2.9499521255493164","2.9499521255493164"
"91","2.9362051486968994","2.9362051486968994","2.9362051486968994"
"92","2.911055326461792","2.911055326461792","2.911055326461792"
"93","2.9248859882354736","2.9248859882354736","2.9248859882354736"
